id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range
188,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading 30 Day DT,AP Inloading 30 Day DT,3,3,,38,30 Days,Anderson Point,AP Inloading,,,
191,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Actions Report,AP Inloading Actions Report,6,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/b93b2adf-5d10-4606-815c-a4ef34060cb0/APInloadingActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,
190,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Idlers,AP Inloading Idlers,5,1,https://analytics.fmgl.com.au/t/sandbox/views/APILIdlers/APILIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,38,,,,,,
192,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Investigations Report,AP Inloading Investigations Report,7,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/cde4a23c-cd79-4cdb-a62a-beea24c538dc/APInloadingInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,
186,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Summary,AP Inloading Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/APInloadingSummary/APInloadingSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,
189,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Watchlist,AP Inloading Watchlist,4,1,https://analytics.fmgl.com.au/t/sandbox/views/APILWatchlist/APInloadingWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,38,,,,,,
187,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Weekly TUM,AP Inloading Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/APInloadingWeeklyTUM/APInloadingWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,
195,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading 30 Day DT,AP Outloading 30 Day DT,3,3,,39,30 Days,Anderson Point,AP Outloading,,,
198,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Actions,AP Outloading Actions,6,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/9c97d25b-00a0-4768-9fcb-33e05b3ba5cd/APOutloadingActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,
197,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Idlers,AP Outloading Idlers,5,1,https://analytics.fmgl.com.au/t/sandbox/views/APOLIdlers/APOLIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,39,,,,,,
199,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Investigations,AP Outloading Investigations,7,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/567c72a2-9740-43e0-8ebe-9533cc9f235e/APOutloadingInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,
193,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Summary,AP Outloading Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/APOutloadingSummary/APOutloadingSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,
196,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Watchlist,AP Outloading Watchlist,4,1,https://analytics.fmgl.com.au/t/sandbox/views/APOLWatchlist/APOutloadingWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,39,,,,,,
194,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Weekly TUM,AP Outloading Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/APOutloadingWeeklyTUM/APOutloadingWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,
234,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Ancilliary Actions Report,CB Ancilliary Actions Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/4139d69e-eb6b-4e80-8af2-74a3c1ad7539/CBHMEAncilActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,48,,,,,,
235,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Ancilliary Investigations Report,CB Ancilliary Investigations Report,5,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/51da9875-895c-426b-8022-9d13cc3c8ecb/CBHMEAncilInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,48,,,,,,
229,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Diggers and Drills Actions Report,CB Diggers and Drills Actions Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/0271f0a6-3a36-498c-8246-ba9479e7b8d2/CBHMEDDActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,47,,,,,,
230,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Diggers and Drills Investigations Report,CB Diggers and Drills Investigations Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/ce2dd376-0b4f-43e8-931b-577cba9891c8/CBHMEDDInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,47,,,,,,
227,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Diggers FLOC DT Pareto,CB Diggers FLOC DT Pareto,1,2,,47,,,,Cloudbreak,Excavator,30 Days
233,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Dozers FLOC DT Pareto,CB Dozers FLOC DT Pareto,3,2,,48,,,,Cloudbreak,Dozer,30 Days
228,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Drills FLOC DT Pareto,CB Drills FLOC DT Pareto,2,2,,47,,,,Cloudbreak,Drills,30 Days
147,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB FP Actions Report,CB FP Actions Report,10,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/03ee7049-074b-4469-862c-3f0c231497e8/CBFPActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
148,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB FP Investigations Report,CB FP Investigations Report,11,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/c08aa268-fd51-4e6f-9fdc-9dd37c2e76db/CBFPInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
231,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Graders FLOC DT Pareto,CB Graders FLOC DT Pareto,1,2,,48,,,,Cloudbreak,Grader,30 Days
224,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Haul Truck FLOC DT Pareto,CB Haul Truck FLOC DT Pareto,1,2,,46,,,,Cloudbreak,Haul Truck,30 Days
225,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB HME Trucks Actions Report,CB HME Trucks Actions Report,2,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/b1dda992-6668-4fd6-8f18-f35eb88c5e91/CBHMETrucksActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,46,,,,,,
226,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB HME Trucks Investigations Report,CB HME Trucks Investigations Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/338af9ec-f120-4a78-a75a-820cc2963577/CBHMETrucksInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,46,,,,,,
232,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Loaders FLOC DT Pareto,CB Loaders FLOC DT Pareto,2,2,,48,,,,Cloudbreak,Wheel Loader,30 Days
140,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF 30 Day DT,CB OPF 30 Day DT,3,3,,34,30 Days,Cloudbreak,CB OPF,,,
145,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Idlers,CB OPF Idlers,8,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFIdlers/CBOPFIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,34,,,,,,
138,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Summary ,CB OPF Summary ,1,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFSummary/CBOPFSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,
