id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range,threshold_5_why
194,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Weekly TUM,AP Outloading Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/APOutloadingWeeklyTUM/APOutloadingWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,,
234,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Ancilliary Actions Report,CB Ancilliary Actions Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/45661419-004f-4c33-abee-186f6bfed444/5d8ac219-d901-4732-ac54-8bdcef3fe03f?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,48,,,,,,,
235,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Ancilliary Investigations Report,CB Ancilliary Investigations Report,5,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/ccdeed30-e585-4097-ba64-8507703dcee4/CBAncinilliarActionsReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,48,,,,,,,
229,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Diggers and Drills Actions Report,CB Diggers and Drills Actions Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/31c1d7a5-b185-4290-adce-414182d7300e/4866856d-703d-4c01-97e4-58529326b2fa?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,47,,,,,,,
230,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Diggers and Drills Investigations Report,CB Diggers and Drills Investigations Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/6b10aef1-e4fe-48d7-ab01-279c6e16a90e/CBDiggersandDrillsReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,47,,,,,,,
227,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Diggers FLOC DT Pareto,CB Diggers FLOC DT Pareto,1,2,,47,,,,Cloudbreak,Excavator,30 Days,
233,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Dozers FLOC DT Pareto,CB Dozers FLOC DT Pareto,3,2,,48,,,,Cloudbreak,Dozer,30 Days,
228,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Drills FLOC DT Pareto,CB Drills FLOC DT Pareto,2,2,,47,,,,Cloudbreak,Drills,30 Days,
147,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB FP Actions Report,CB FP Actions Report,10,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/ae98e440-1a38-4fd9-addc-7b78bc03f696/6192dd8b-6804-446e-9595-0f07c7d1cc3e?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
148,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB FP Investigations Report,CB FP Investigations Report,11,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/889a62da-7e39-4551-a2c9-e06c25d34488/CBFPReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
231,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Graders FLOC DT Pareto,CB Graders FLOC DT Pareto,1,2,,48,,,,Cloudbreak,Grader,30 Days,
224,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Haul Truck FLOC DT Pareto,CB Haul Truck FLOC DT Pareto,1,2,,46,,,,Cloudbreak,Haul Truck,30 Days,
225,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB HME Trucks Actions Report,CB HME Trucks Actions Report,2,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/7e6838ff-6914-40b2-9c4a-f41f1e3640fa/ef1056fd-6759-4e90-a9c7-7401cdae329a?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,46,,,,,,,
226,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB HME Trucks Investigations Report,CB HME Trucks Investigations Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/aad216d8-60e5-4aec-9108-f047562d151f/CBTrucksReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,46,,,,,,,
