object,damage_code,damage
Accumulator,D017,Bent
Accumulator,D002,"Broken (Cracked,Leaking,Holed)"
Accumulator,D022,Coating/Lining failure
Accumulator,D024,Corroded
Accumulator,D025,Cracked
Accumulator,D005,"Deformed (Bent,Twisted)"
Accumulator,D006,"Deteriorated (Worn,Corroded,Depleted)"
Accumulator,D007,End of Life
Accumulator,D028,Failed
Accumulator,D015,Hollowed
Accumulator,D037,Leaking
Accumulator,D008,Loose (Detached)
Accumulator,D250,Loss of Pre-Charge
Accumulator,D039,Loss of Thickness
Accumulator,D998,No Fault Found
Accumulator,D999,Other Reason (Explain)
Accumulator,D052,Product leakage
Accumulator,D270,Rupture
Accumulator,D063,Worn
Agitators and Mixer,D002,"Broken (Cracked,Leaking,Holed)"
Agitators and Mixer,D024,Corroded
Agitators and Mixer,D025,Cracked
Agitators and Mixer,D005,"Deformed (Bent,Twisted)"
Agitators and Mixer,D006,"Deteriorated (Worn,Corroded,Depleted)"
Agitators and Mixer,D007,End of Life
Agitators and Mixer,D034,Frozen/Hot
Agitators and Mixer,D008,Loose (Detached)
Agitators and Mixer,D998,No Fault Found
Agitators and Mixer,D070,No Power
Agitators and Mixer,D999,Other Reason (Explain)
Agitators and Mixer,D012,"Siezed (Stuck,Frozen,Jammed)"
Agitators and Mixer,D063,Worn
Air Compressor,D001,Blockage
Air Compressor,D002,"Broken (Cracked,Leaking,Holed)"
Air Compressor,D003,"Burnt (Fused,Melted)"
Air Compressor,D004,Contaminated
Air Compressor,D024,Corroded
Air Compressor,D025,Cracked
Air Compressor,D221,Damaged
Air Compressor,D005,"Deformed (Bent,Twisted)"
Air Compressor,D006,"Deteriorated (Worn,Corroded,Depleted)"
Air Compressor,D007,End of Life
Air Compressor,D028,Failed
Air Compressor,D031,Fault/Short Circuit
Air Compressor,D034,Frozen/Hot
Air Compressor,D241,Incorrect Position
Air Compressor,D243,Inefficient
Air Compressor,D037,Leaking
Air Compressor,D008,Loose (Detached)
Air Compressor,D248,Loss
Air Compressor,D041,Lube/Service leakage
Air Compressor,D998,No Fault Found
Air Compressor,D070,No Power
Air Compressor,D999,Other Reason (Explain)
Air Compressor,D051,PLC Fault
Air Compressor,D158,Seized/Jammed
Air Compressor,D012,"Siezed (Stuck,Frozen,Jammed)"
Air Compressor,D063,Worn
Air Conditioner,D001,Blockage
Air Conditioner,D019,Broken
Air Conditioner,D003,"Burnt (Fused,Melted)"
Air Conditioner,D024,Corroded
Air Conditioner,D025,Cracked
Air Conditioner,D005,"Deformed (Bent,Twisted)"
Air Conditioner,D006,"Deteriorated (Worn,Corroded,Depleted)"
Air Conditioner,D026,Down to Earth
Air Conditioner,D007,End of Life
Air Conditioner,D028,Failed
Air Conditioner,D031,Fault/Short Circuit
Air Conditioner,D243,Inefficient
Air Conditioner,D037,Leaking
Air Conditioner,D008,Loose (Detached)
Air Conditioner,D067,No A/C
Air Conditioner,D044,No Drive
Air Conditioner,D998,No Fault Found
Air Conditioner,D045,No Flow
Air Conditioner,D999,Other Reason (Explain)
Air Conditioner,D158,Seized/Jammed
Air Conditioner,D012,"Siezed (Stuck,Frozen,Jammed)"
Air Conditioner,D060,Vibration/Noisy
Air Conditioner,D063,Worn
Air Receiver/Vessel,D017,Bent
Air Receiver/Vessel,D001,Blockage
Air Receiver/Vessel,D002,"Broken (Cracked,Leaking,Holed)"
Air Receiver/Vessel,D022,Coating/Lining failure
