object,part_code,part
Accumulator,A002,Accumulator
Accumulator,B035,Bladder
Accumulator,B051,Bolt
Accumulator,F021,Fitting
Accumulator,L018,Line
Accumulator,Z999,No Object Found
Accumulator,V001,Valve
Accumulator,Z995,Whole Unit
Agitator and Mixer,Z999,No Object Found
Agitator and Mixer,Z995,Whole Unit
Air Compressor,B015,Bearing
Air Compressor,C059,Compressor Assembly
Air Compressor,C062,Condenser Assembly
Air Compressor,E044,Electronic Components
Air Compressor,E007,Element
Air Compressor,F061,Fastener
Air Compressor,F011,Filter
Air Compressor,G062,Guide Vanes
Air Compressor,L056,Louvres
Air Compressor,L038,Lubricant
Air Compressor,Z999,No Object Found
Air Compressor,R055,Rotor
Air Compressor,S009,Screw
Air Compressor,S012,Seal
Air Compressor,S044,Shaft
Air Compressor,S209,Structure
Air Compressor,T070,Tube
Air Compressor,V048,Vee Belt
Air Compressor,Z995,Whole Unit
Air Conditioner,B015,Bearing
Air Conditioner,C055,Coil
Air Conditioner,C149,Component
Air Conditioner,C059,Compressor Assembly
Air Conditioner,C153,Condensate Drain
Air Conditioner,C062,Condenser Assembly
Air Conditioner,C067,Connector
Air Conditioner,F011,Filter
Air Conditioner,Z999,No Object Found
Air Conditioner,P018,Piping
Air Conditioner,T018,Terminal
Air Conditioner,Z995,Whole Unit
Air Receiver/Vessel,A043,Air Oil Separator
Air Receiver/Vessel,L018,Line
Air Receiver/Vessel,Z999,No Object Found
Air Receiver/Vessel,R025,Reservoir
Air Receiver/Vessel,V001,Valve
Air Receiver/Vessel,V052,Vessel
Air Receiver/Vessel,Z995,Whole Unit
Alternator,A038,Alternator
Alternator,B015,Bearing
Alternator,B029,Belt
Alternator,B051,Bolt
Alternator,C002,Cable
Alternator,C072,Control
Alternator,C093,Coupling
Alternator,D066,Drive Belt
Alternator,F011,Filter
Alternator,Z999,No Object Found
Alternator,R022,Relay
Alternator,T093,Temperature Controller
Alternator,T094,Terminal Box
Alternator,T020,Terminator
Alternator,Z995,Whole Unit
Alternator,W057,Winding
Battery,B010,Battery
Battery,B012,Battery Terminal
Battery,C002,Cable
Battery,C070,Contactor
Battery,S148,Switch
Battery,T020,Terminator
Bearing Slew,B015,Bearing
Bearing Slew,B051,Bolt
Bearing Slew,F061,Fastener
Bearing Slew,G055,Gear Teeth
Bearing Slew,S012,Seal
Belt Weigher,Z999,No Object Found
Belt Weigher,Z995,Whole Unit
Bin,B086,Bin
Bin,B051,Bolt
Bin,E038,Earth Bonding
Bin,F070,Footings
Bin,H002,Handrail
Bin,L020,Liner
Bin,Z999,No Object Found
Bin,P075,Pipe Shields
Bin,S209,Structure
Bin,T107,Transmitter
Bin,Z995,Whole Unit
Bin,W058,Wing Walls
Blower,B015,Bearing
Blower,F001,Fan
Blower,F061,Fastener
Blower,F011,Filter
Blower,I009,Impeller
Blower,M019,Motor
Blower,Z999,No Object Found
Blower,Z995,Whole Unit
Brakes,B051,Bolt
Brakes,B089,Brake Band
Brakes,B090,Brake Coils
Brakes,B091,Brake Disc
Brakes,B060,Brake Pad
Brakes,B092,Brake System
Brakes,Z999,No Object Found
Brakes,S012,Seal
Brakes,S030,Sensor
Brakes,Z995,Whole Unit
Brakes,W033,Wiring
Building,B095,Building
Building,D025,Door
Building,E043,Electrical Device
Building,Z999,No Object Found
Building,R080,Regulations
Building,S012,Seal
Building,S209,Structure
Building,V050,Ventilation System
Building,Z995,Whole Unit
Cable,C002,Cable
Cable,C125,Cable Insulation
Cable,C126,Cable Splice
