"id","created","updated","investigation_id","five_why_id","flash_report_id","root_cause_detail_id","title","description","priority","date_due","supervisor_id","status","date_closed","is_historical","is_archived","archive_user_id","archive_datetime"
15972,2022-10-27 17:21:33.672 +0800,2022-10-27 17:21:33.672 +0800,10579,,63,,Revise “13W grizzly bar inspection” PM02.,"SN009 and SN010 currently have WO's for ""13W FT OFF Insp Grizzly Bars/Bolts SN009/10"". 

WO's to be renamed to something like ""13W FT OFF Insp Screen and Chute Wear Components SN009"" and ""13W FT OFF Insp Screen and Chute Wear Components SN010"".

Additionally, please add the steps from the work instruction into the operations of the WO? i.e.:
 2. Inspect Grizzly Bars,
3.  Inspect Impact Panels
......
23.  Inspect Lower Chute Rear Wall",Medium,2022-11-24 08:00:00.000 +0800,2037,1,,0,false,,
15968,2022-10-27 10:07:22.930 +0800,2022-10-27 10:15:15.909 +0800,10516,,,27,Report failure to  OEM,Report failure to Westrac about the failure of bolts incorrect torque in order to avoid future failures.,Medium,2022-11-24 00:00:00.000 +0800,10405,1,,0,false,,
15973,2022-10-27 17:23:07.439 +0800,2022-10-27 17:23:07.439 +0800,10579,,63,,"Revise ""13W FT OFF Insp Grizzly Bars/Bolts SN009/10"" title and operations list.",Please revise the PM02 as per the attached email request.,Medium,2022-11-24 00:00:00.000 +0800,2037,1,,0,false,,
15969,2022-10-27 10:24:05.998 +0800,2022-10-27 10:24:14.346 +0800,10617,,95,,Replace belt,Replace failed belt,High,2022-09-28 08:00:00.000 +0800,3819,3,2022-10-28 08:00:00.000 +0800,0,false,,
15974,2022-10-27 17:27:18.530 +0800,2022-10-27 17:27:18.530 +0800,10579,,63,,"Revise title and operations list for ""13W FT OFF Insp Grizzly Bars/Bolts SN009/10"".",Refer to attached email request.,Medium,2022-11-24 00:00:00.000 +0800,2037,1,,0,false,,
15970,2022-10-27 14:14:09.439 +0800,2022-10-27 14:52:23.677 +0800,10618,,96,,Review work procedure and update,Review the work procedure at the vibe feeder panel and update it to match the OEM maintenance manual procedure.,Medium,2022-11-10 00:00:00.000 +0800,9093,1,,0,false,,
15971,2022-10-27 15:12:04.259 +0800,2022-10-27 15:12:04.268 +0800,10618,,96,,Review sample station rotables,"Discovered VF532 rotables are incorrect, review all rotables for sample station.",Low,2023-03-01 08:00:00.000 +0800,6832,1,,0,false,,
15975,2022-10-27 17:28:06.658 +0800,2022-10-27 17:28:06.668 +0800,10579,,63,,Revise title and operations list of 13W FT OFF Insp Grizzly Bars/Bolts SN009/10,Refer to MD notification.,Medium,2022-11-24 00:00:00.000 +0800,2037,1,,0,false,,
12292,2022-10-26 00:00:00.000 +0800,2022-10-26 00:00:00.000 +0800,72,,,,Mag plug samples are not taken accurately making i; Historical BMS Id: AT-9999999_4090,Mag plug samples are not taken accurately making it hard to detect early failures.,Medium,2022-10-26 00:00:00.000 +0800,8993,3,2022-10-26 00:00:00.000 +0800,1,false,,
11986,2022-10-26 00:00:00.000 +0800,2022-10-26 00:00:00.000 +0800,72,,,,The hours of the bearing hub replacement 22000 is ; Historical BMS Id: AT-9999999_4089,The hours of the bearing hub replacement 22000 is higher than the OEM recommendation 15000.,Medium,2022-10-26 00:00:00.000 +0800,8993,3,2022-10-26 00:00:00.000 +0800,1,false,,
