"id","created","updated","title","description","priority","investigation_type","event_datetime","completion_due_date","steps_completed","function_location","equipment_description","object_type","catalog_profile","catalog_profiles","object_part_description","damage_code","supervisor_id","event_type","status","total_effective_duration","total_tonnes_lost","date_closed","total_event_duration","cause_code","is_archived","archive_user_id","archive_datetime"
10,2018-10-15 07:17:00.000 +0800,2018-10-15 08:15:32.000 +0800,PU264 gland failure; Historical BMS Id: RCA-0000077,"During the first week of October PU264 gland failed 4 times, The failures happened on 1st,4th, 6th an 7th of October.",Medium,1,2018-10-06 16:45:00.000 +0800,2018-10-15 08:15:32.000 +0800,5,CLB-PP-DSND-TLG001-PU264 -ASBLY,Pump Tailings Disposal Stage 2 PU264,Pump,PM-PMP,'{}',,,14088,1,3,0.0,0.0,2018-10-15 08:15:32.000 +0800,,,,,
11,2018-08-08 15:29:00.000 +0800,2018-09-17 18:05:26.000 +0800,CV214 Tail pulley RHS bearing failure; Historical BMS Id: RCA-0000044,Approximately 12:00 on the 7/8/18 Condition Monitoring team members discovered   CV214 tail end pulley bearing to be over heating. Temperature reading was taken and found to be over 280 degrees. Control room operators was contacted to shutdown CV214. Water was used in attempt to cool the equipment down in order to gain access. The failed bearing and pulley was replaced and failed component was made available for investigation. Visual inspection revealed bearing cage has failed and the rollers are not in its original position.,Medium,2,2018-08-07 12:15:00.000 +0800,2018-09-17 18:05:26.000 +0800,5,CLB-PP-WSCR-MOD214-CV214 -ASBLY,Pulley Tail PY05 CV214,Pulley,PM-PLYS,'{}',,,14088,1,3,31.5,0.0,2018-09-17 18:05:26.000 +0800,,,,,
34,2018-09-18 07:30:00.000 +0800,2018-09-18 07:42:59.000 +0800,~30+ Conveyor Gearboxes changed due to leaking seals since commissioning.; Historical BMS Id: RCA-0000064,John Whitehall-Holla conducted analysis of gearbox change outs highlighting leaking seals at Christmas Creek.30+ gearboxes have been changed out due to leaking seals.,Medium,2,2018-09-11 07:31:00.000 +0800,2018-09-18 07:42:59.000 +0800,5,CCK-P1,Unknown,Unknown,PMGENERAL,'{}',,,6962,1,3,0.0,0.0,2018-09-18 07:42:59.000 +0800,,,,,
35,2018-11-21 17:13:00.000 +0800,2018-11-21 18:05:07.000 +0800,CV204 tail pulley (No 6) suffered 0.5hrs of unplanned downtime to tighten up the bearing adaptor sleeve locknut two days prior to a major shutdown. ; Historical BMS Id: RCA-0000100,"During an inspection on 11/07/2018, the pulley was found to be running very close to the structure on the LHS (float side). The RHS (fixed side) bearing endcap was removed and it was noted that the shaft had moved axially from beneath the bearing adaptor sleeve. The pulley shell/shaft was pushed back into its correct location, and the bearing adaptor sleeve lock nut retightened. The shaft slipped beneath the fixed end bearing, causing the pulley to move and take up all the float in the float bearing. Given the shaft moved about 10-15mm, the float end bearing must not have been central in the housing. ",Medium,2,2018-07-11 17:22:00.000 +0800,2018-11-21 18:05:07.000 +0800,5,CCK-P2-WSCR-CONV15-CV204 -ASBLY,Pulley Tail 15CV204_PY06,Pulley,PM-PLYS,'{}',,,6962,1,3,0.0,0.0,2018-11-21 18:05:07.000 +0800,,,,,
39,2019-03-05 14:29:00.000 +0800,2019-03-05 15:31:11.000 +0800,Machine not tramming straight; Historical BMS Id: RCA-0000155,"Machine discovered during running checks that it was not tramming straight. After service, AHS immediately started their installs and the diagnosis for the traveling issues started thereafter. It took several shifts to solve the problem . Pump pressures were checked ok but not enough pressure reaching travel block. It was discovered that the retarder valve was jammed in the housing and the block badly worn.",Medium,2,2019-02-28 16:21:00.000 +0800,2019-03-05 15:31:11.000 +0800,5,CLB-MP-EXCV,Unknown,Unknown,PMGENERAL,'{}',,,14108,1,3,81.6,0.0,2019-03-05 15:31:11.000 +0800,,,,,
1115,2022-01-03 12:11:00.000 +0800,2022-04-28 15:35:00.000 +0800,RC701 Luff Issues; Historical Sharepoint Port Id 23,RC701 luffed up due to the relay failing and latching on. Fault happened over 2 days,Medium,2,2021-12-26 00:00:00.000 +0800,,5,APT-OL-RCLM-RC701 -LUFFNG-PP01,Elec Mtr Hyd Main Luff 90kW-4 POLE-1460,Electrical Motor,PMGENERAL,'{}',,,14131,1,1,5.1,54391.0,2022-08-01 08:00:00.000 +0800,,,,,
1097,2022-02-21 06:18:43.000 +0800,2022-08-10 08:45:54.839 +0800,TLO Track Scale DMA Sensor Failure ,DMA Sensor failed. ,Medium,2,2022-02-14 16:00:00.000 +0800,2022-08-17 00:00:00.000 +0800,5,ELW-SY-TRLO-TLO900-WE902 -ASBLY,Weight Element TLO Weigh-Out WE902,Weight Transmitter,PM-WGHT,'{}',Load Cell,Broken,4314,1,1,8.8,0.0,,,No Cause Found,,,
8,2018-09-03 12:35:00.000 +0800,2018-09-03 14:09:35.000 +0800,PU287 Volute failure; Historical BMS Id: RCA-0000060,On 01.09.2018 at 23:26 Pump PU287 volute holed and slurry was leaking from the top. ,Medium,1,2018-09-01 23:40:00.000 +0800,2018-09-03 14:09:35.000 +0800,5,CLB-PP-DSND-MOD233-PU287 -ASBLY,Pump Cyclone Feed PU287,Pump,PM-PMP,'{}',,,14088,1,3,0.0,1398.0,2018-09-03 14:09:35.000 +0800,,,,,
9,2018-09-02 13:31:00.000 +0800,2018-09-03 08:38:43.000 +0800,Tailings disposal line check valve failure; Historical BMS Id: RCA-0000059,"At 10:40 am on Sept 1st, the non-return valve on tailings disposal line no.2 blew out. Because there was no isolation valve after this check valve, Maintenance crew had to wait for 3 hours for water in upstream pipeline to be drained through the whole in the check valve before they can start replacing it. the failed check valve was recently changed and had been in service for only a couple of months. Concord engineering who refurbished the check valve was contacted to do an RCA on the failure.",Medium,1,2018-09-01 10:40:00.000 +0800,2018-09-03 08:38:43.000 +0800,5,CLB-PP-DSND-TLG002-PG001 -PPVLV,Piping & Valves PG001,Piping,PM-PIPI,'{}',,,14088,1,3,0.0,0.0,2018-09-03 08:38:43.000 +0800,,,,,
1118,2022-01-13 07:12:00.000 +0800,2022-01-13 07:13:00.000 +0800,SC946 Overtravel and Jamming; Historical Sharepoint Port Id 26,SC946 drove past south overtravel limit and would not drive off it.  When it was freed it drove past north overtravel limit.,Medium,2,2021-12-01 00:00:00.000 +0800,,5,APT-OL-CNVY-SS945 -SC946 -EICON,VSD 6836 Sampler Drive,Variable Speed Drive,PM-VSD,'{}',,,14172,1,1,4.0,47428.0,2022-08-01 08:00:00.000 +0800,,,,,
10472,2022-08-15 16:34:00.267 +0800,2022-08-15 16:57:23.831 +0800,EX8104 PP1 Alternator Failure,Investigate the root cause of the alternator failure. This is important as we have recently upgraded our alternators on R996s.,Medium,2,2022-08-07 20:33:00.000 +0800,2022-12-12 08:00:00.000 +0800,4,SOL-MP-EXCV-EX8104-ELCTLV-CHARG-ALTFR,Alternator 24V Engine PP1,Alternator,MP-ALTNR,'{}',Bearing,Bearing Failure,6641,2,1,0.0,0.0,,0.0,,,,
10475,2022-08-19 10:32:21.181 +0800,2022-08-19 10:52:07.009 +0800,Solomon Power Station GTG2 IR Detector Trip,GTG2 tripped when two IR Detectors were activated in the Turbine Enclosure resulting in a load shed from 33MW to 7MW impacting the OPFs,High,2,2017-11-23 04:40:00.000 +0800,2022-08-26 00:00:00.000 +0800,6,SOL-PS-GTG2-GFUELS-GASSYS-PPVLV,Valve Staging No 5,Manifold,PMGENERAL,"'{""MP-MANFD"",""MP-FUSYS"",""PM-MANFD"",""MP-INTEX"",""PMGENERAL"",""MP-BKSYS"",""MP-EXHST""}'",Gasket,"Deteriorated (Worn,Corroded,Depleted)",4100,1,3,0.0,0.0,2017-10-07 08:00:00.000 +0800,0.0,Loose Parts,,,
1119,2022-01-13 07:30:00.000 +0800,2022-01-13 07:30:00.000 +0800,SK702 Fibre Comm Link Failure; Historical Sharepoint Port Id 27,NULL,Medium,2,2021-12-16 00:00:00.000 +0800,,5,APT-IL-STKG-SK702 -LTDRV -EICON,Electrical Misc Equipment,Electrical System,PMGENERAL,'{}',,,14172,1,1,3.6,38242.0,2022-08-01 08:00:00.000 +0800,,,,,
1121,2022-04-11 09:30:00.000 +0800,2022-04-11 09:30:00.000 +0800,CN606 Cable Reeler Failure; Historical Sharepoint Port Id 29,NULL,Medium,2,2022-03-04 00:00:00.000 +0800,,5,APT-IL-TRUL-TUL003-CN606 -ASBLY,Bridge Crane EOHTC Dual Hoist 25T-10T,Hoist,PM-CRNE,'{}',,,2279,1,1,0.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
