id,created,updated,investigation_id,five_why_id,flash_report_id,root_cause_detail_id,title,description,priority,date_due,supervisor_id,status,date_closed,is_historical,is_archived,archive_user_id,archive_datetime
15972,2022-10-27 09:21:33.672394+00,2022-10-27 09:21:33.672432+00,10579,\N,63,\N,Revise “13W grizzly bar inspection” PM02.,"SN009 and SN010 currently have WO's for ""13W FT OFF Insp Grizzly Bars/Bolts SN009/10"". \n\nWO's to be renamed to something like ""13W FT OFF Insp Screen and Chute Wear Components SN009"" and ""13W FT OFF Insp Screen and Chute Wear Components SN010"".\n\nAdditionally, please add the steps from the work instruction into the operations of the WO? i.e.:\n 2. Inspect Grizzly Bars,\n3.  Inspect Impact Panels\n......\n23.  Inspect Lower Chute Rear Wall",Medium,2022-11-24 00:00:00+00,2037,1,\N,0,f,\N,\N
15968,2022-10-27 02:07:22.930921+00,2022-10-27 02:15:15.909039+00,10516,\N,\N,27,Report failure to  OEM,Report failure to Westrac about the failure of bolts incorrect torque in order to avoid future failures.,Medium,2022-11-23 16:00:00+00,10405,1,\N,0,f,\N,\N
15973,2022-10-27 09:23:07.439222+00,2022-10-27 09:23:07.439258+00,10579,\N,63,\N,"Revise ""13W FT OFF Insp Grizzly Bars/Bolts SN009/10"" title and operations list.",Please revise the PM02 as per the attached email request.,Medium,2022-11-23 16:00:00+00,2037,1,\N,0,f,\N,\N
15969,2022-10-27 02:24:05.998729+00,2022-10-27 02:24:14.346473+00,10617,\N,95,\N,Replace belt,Replace failed belt,High,2022-09-28 00:00:00+00,3819,3,2022-10-28 00:00:00+00,0,f,\N,\N
15974,2022-10-27 09:27:18.530262+00,2022-10-27 09:27:18.530301+00,10579,\N,63,\N,"Revise title and operations list for ""13W FT OFF Insp Grizzly Bars/Bolts SN009/10"".",Refer to attached email request.,Medium,2022-11-23 16:00:00+00,2037,1,\N,0,f,\N,\N
15970,2022-10-27 06:14:09.439+00,2022-10-27 06:52:23.677185+00,10618,\N,96,\N,Review work procedure and update,Review the work procedure at the vibe feeder panel and update it to match the OEM maintenance manual procedure.,Medium,2022-11-09 16:00:00+00,9093,1,\N,0,f,\N,\N
15971,2022-10-27 07:12:04.259629+00,2022-10-27 07:12:04.268909+00,10618,\N,96,\N,Review sample station rotables,"Discovered VF532 rotables are incorrect, review all rotables for sample station.",Low,2023-03-01 00:00:00+00,6832,1,\N,0,f,\N,\N
15975,2022-10-27 09:28:06.658478+00,2022-10-27 09:28:06.668417+00,10579,\N,63,\N,Revise title and operations list of 13W FT OFF Insp Grizzly Bars/Bolts SN009/10,Refer to MD notification.,Medium,2022-11-23 16:00:00+00,2037,1,\N,0,f,\N,\N
12292,2022-10-25 16:00:00+00,2022-10-25 16:00:00+00,72,\N,\N,\N,Mag plug samples are not taken accurately making i; Historical BMS Id: AT-9999999_4090,Mag plug samples are not taken accurately making it hard to detect early failures.,Medium,2022-10-25 16:00:00+00,8993,3,2022-10-25 16:00:00+00,1,f,\N,\N
11986,2022-10-25 16:00:00+00,2022-10-25 16:00:00+00,72,\N,\N,\N,The hours of the bearing hub replacement 22000 is ; Historical BMS Id: AT-9999999_4089,The hours of the bearing hub replacement 22000 is higher than the OEM recommendation 15000.,Medium,2022-10-25 16:00:00+00,8993,3,2022-10-25 16:00:00+00,1,f,\N,\N
11165,2022-10-25 16:00:00+00,2022-10-25 16:00:00+00,72,\N,\N,\N,Bearings normally get replaced after the wheel hub; Historical BMS Id: AT-9999999_4088,Bearings normally get replaced after the wheel hub compartment reach critical levels of contamination. ,Medium,2022-10-25 16:00:00+00,8993,3,2022-10-25 16:00:00+00,1,f,\N,\N
12589,2022-10-25 16:00:00+00,2022-10-25 16:00:00+00,72,\N,\N,\N,The diameter of the bearing cup housing is too lar; Historical BMS Id: AT-9999999_4087,"The diameter of the bearing cup housing is too large. This makes the tolerance between the bearing cup and the hub housing too big, leading to lack of retention of the bearing cup that consequently spins inside the housing. This creates metal and contamination that affects other components such as the bearing rollers or spindle  that got pitted increasing the amount of metal in the wheel hub compartment.",Medium,2022-10-25 16:00:00+00,8993,3,2022-10-25 16:00:00+00,1,f,\N,\N
11453,2022-10-25 16:00:00+00,2022-10-25 16:00:00+00,72,\N,\N,\N,X alert for high Iron and PQI; Historical BMS Id: AT-9999999_4086,X alert for high Iron and PQI,Medium,2022-10-25 16:00:00+00,8993,3,2022-10-25 16:00:00+00,1,f,\N,\N
15467,2021-01-13 04:43:31+00,2022-09-21 03:24:48.907+00,1347,\N,\N,\N,Review critical hydraulic spares and adjust SAP as required; Historical Sharepoint CB Id: 508,Review critical hydraulic spares and adjust SAP as required,Medium,2022-12-19 00:00:00+00,11150,1,\N,1,f,\N,\N
15489,2021-10-17 18:41:29+00,2022-09-21 03:20:27.513+00,1384,\N,\N,\N,Review critical spares for hydraulic components - existing action; Historical Sharepoint CB Id: 672,Review critical spares for hydraulic components - existing action,Medium,2022-12-19 00:00:00+00,11150,1,\N,1,f,\N,\N
15488,2021-10-17 18:40:46+00,2022-09-21 03:20:13.592+00,1384,\N,\N,\N,Review / Implement maintenance strategies for train loader hydraulic valves; Historical Sharepoint CB Id: 671,Review / Implement maintenance strategies for train loader hydraulic valves,Medium,2022-12-19 00:00:00+00,11150,1,\N,1,f,\N,\N
15480,2021-06-10 22:29:09+00,2022-09-21 03:19:48.574+00,1368,\N,\N,\N,Adjust warehouse quantities for critical spares; Historical Sharepoint CB Id: 577,Adjust warehouse quantities for critical spares,Medium,2022-12-19 00:00:00+00,2206,1,\N,1,f,\N,\N
