id,created,updated,action_id,user_id,comment
1,2022-08-05 07:59:37.357142+00,2022-08-05 07:59:37.357182+00,15532,2,Test comment
2,2022-08-26 01:51:05.434752+00,2022-08-26 01:51:05.434789+00,15589,2, \t30/12/2020 MD - A magnet is to be installed over CV009 to pick up any tramp metal before the metal detector and reduce CV009 stoppages.
3,2022-08-26 01:51:13.538564+00,2022-08-26 01:51:13.538605+00,15589,2,07/05/2021 MD - Waiting on an update from Ops Projects. Due date pushed out until after the next shutdown.
4,2022-08-26 01:52:00.837735+00,2022-08-26 01:52:00.837766+00,15589,2,14/07/2021 MD - Reassigned to site projects team for execution.
5,2022-08-26 01:52:09.785062+00,2022-08-26 01:52:09.785098+00,15589,2,28/04/22 DE Meeting - Installation planned for CP22OP03
184,2022-10-27 02:28:15.174682+00,2022-10-27 02:28:15.174717+00,15594,8000,Two alternative skirt designs provided. Eng to assess feasibility of implementation.
187,2022-08-26 02:01:30.094+00,2022-08-26 02:01:30.094+00,15467,2, Review critical hydraulic spares and adjust SAP as required\n\nMS 27/02 - Review of critical spares on site has been completed and all required items have been accounted for.  Awaiting Warehouse to issue a secure holding location in stores so we can enter the items in SAP.
188,2022-08-26 02:01:39.146+00,2022-08-26 02:01:39.146+00,15467,2,MS 10/03 - Still awaiting warehouse responce for storing location. Will be adding SAP number for each critical item and adding them into the function locations
189,2022-08-26 02:01:44.751+00,2022-08-26 02:01:44.751+00,15467,2,MS 28/03 - Meeting with Warehouse arranged for post shut to find a suitable location for critical spares. Then SAP can be updated with new part numbers and functional locations updated.
190,2022-08-26 02:01:51.475+00,2022-08-26 02:01:51.475+00,15467,2,RJ 15/04 : Warehouse has not provided a consolidated location for critical spares. Critical spares feedback has not been provided yet from powerflow systems. Action extended
191,2022-08-26 02:02:01.979+00,2022-08-26 02:02:01.979+00,15467,2,21/06 : action extended to complete audit 
192,2022-08-26 02:02:12.801+00,2022-08-26 02:02:12.802+00,15467,2,30/09/02 HW - Unable to prioritise over previous few swings. Have had to push out to end of next swing
193,2022-08-26 02:02:19.04+00,2022-08-26 02:02:19.04+00,15467,2,11/10 HW - Have lost access to SAP. Have pushed out another swing to finalise
194,2022-08-26 02:02:27.387+00,2022-08-26 02:02:27.387+00,15467,2,25/10 DL Audit has not been completed. Action extended and will be prioritsed for completion. Need to follow up with powerflow
195,2022-08-26 02:02:32.519+00,2022-08-26 02:02:32.519+00,15467,2,30/11/2021 TB Action extended to allow final review of audit to be completed and changes to SAP implemented
196,2022-08-26 02:02:41.067+00,2022-08-26 02:02:41.067+00,15467,2,28/01/2022 MZ Action extended due to other priorites. A spreadsheet of hydraulic parts has been developed. More time is required to finalize the spreadsheet.
197,2022-08-26 02:02:47.818+00,2022-08-26 02:02:47.818+00,15467,2,27/02/2022 MZ Action extended due to other priorites. Hydraulic spare part spreadsheet has been updated to include all pipeworks as well.  Spreadsheet has been sent to Powerflow to add update part numers. 
198,2022-08-26 02:02:56.063+00,2022-08-26 02:02:56.063+00,15467,2,26/04/2022 MZ Action extended due to other priorites. Need more time to finalized the part list.
199,2022-08-26 02:03:02.695+00,2022-08-26 02:03:02.695+00,15467,2,"21/06/2022 MZ Spare part list is complete, send to mainteance for reviewing. Action extended."
200,2022-08-26 02:08:04.723+00,2022-08-26 02:08:04.723+00,15484,2,MS 16/12Awaiting review from HWC hydraulics for install methodology and cost. Will review and make a WO to suit if approved by all stakeholders
