id,created,updated,action_id,user_id
7109,2022-10-27 02:07:22.933885+00,2022-10-27 02:07:22.933916+00,15968,8993
3,2022-08-03 03:31:13.306773+00,2022-08-03 03:54:17.322974+00,\N,2
4,2022-08-03 03:54:17.325667+00,2022-08-03 03:55:23.412059+00,\N,2
5,2022-08-03 03:55:23.413632+00,2022-08-03 03:56:29.275181+00,\N,2
6,2022-08-03 03:56:29.275748+00,2022-08-03 03:56:42.545149+00,\N,2
7,2022-08-03 03:56:42.545811+00,2022-08-03 03:57:32.620338+00,\N,2
8,2022-08-03 03:57:32.621134+00,2022-08-03 03:57:45.262638+00,\N,2
9,2022-08-03 03:57:45.26333+00,2022-08-03 03:58:27.454142+00,\N,2
1,2022-08-03 03:18:15.309047+00,2022-08-03 07:18:36.000474+00,\N,2
18,2022-08-04 03:31:21.309378+00,2022-08-04 03:31:21.309409+00,15532,2
19,2022-08-04 04:48:28.566048+00,2022-08-05 00:29:25.37958+00,\N,2
121,2022-08-01 00:00:00+00,2022-08-26 02:10:31.109825+00,\N,6832
123,2022-08-01 00:00:00+00,2022-08-26 06:39:43.834028+00,\N,6832
122,2022-08-01 00:00:00+00,2022-08-26 06:48:59.201655+00,\N,540
120,2022-08-01 00:00:00+00,2022-08-26 06:58:16.17715+00,\N,6832
119,2022-08-01 00:00:00+00,2022-08-26 07:00:44.872399+00,\N,6832
7110,2022-10-27 02:17:16.554062+00,2022-10-27 02:17:16.554131+00,15865,6832
7114,2022-10-27 02:31:52.978841+00,2022-10-27 02:31:52.978868+00,15596,8000
310,2022-08-01 00:00:00+00,2022-08-26 01:35:58.734439+00,\N,540
306,2022-08-01 00:00:00+00,2022-08-26 02:03:05.044862+00,\N,540
319,2022-08-01 00:00:00+00,2022-08-26 06:30:22.051527+00,\N,8000
318,2022-08-01 00:00:00+00,2022-08-26 06:33:01.791188+00,\N,7048
317,2022-08-01 00:00:00+00,2022-08-26 06:33:30.980094+00,\N,8000
307,2022-08-01 00:00:00+00,2022-08-26 06:39:07.901995+00,\N,2037
314,2022-08-01 00:00:00+00,2022-08-26 06:43:16.962594+00,\N,540
313,2022-08-01 00:00:00+00,2022-08-26 06:45:39.35347+00,\N,540
312,2022-08-01 00:00:00+00,2022-08-26 06:50:29.858426+00,\N,540
311,2022-08-01 00:00:00+00,2022-08-26 06:51:50.228654+00,\N,540
308,2022-08-01 00:00:00+00,2022-08-26 06:53:35.22967+00,\N,540
309,2022-08-01 00:00:00+00,2022-08-26 06:56:19.748775+00,\N,8000
316,2022-08-01 00:00:00+00,2022-08-26 06:59:09.771275+00,\N,540
315,2022-08-01 00:00:00+00,2022-08-26 06:59:44.779249+00,\N,540
7111,2022-10-27 02:17:37.147776+00,2022-10-27 02:17:37.147803+00,15624,5390
7112,2022-10-27 02:24:06.002304+00,2022-10-27 02:24:06.002338+00,15969,3819
526,2022-08-01 00:00:00+00,2022-08-26 06:54:11.526787+00,\N,573
525,2022-08-01 00:00:00+00,2022-08-26 06:57:10.126843+00,\N,2037
7113,2022-10-27 02:29:35.917376+00,2022-10-27 02:29:35.917403+00,15594,8000
750,2022-08-01 00:00:00+00,2022-10-26 03:28:23.155166+00,\N,5531
7115,2022-10-27 02:33:28.160366+00,2022-10-27 02:33:28.160403+00,15593,8000
7116,2022-10-27 02:54:50.255963+00,2022-10-27 02:55:04.213359+00,\N,2037
980,2022-08-01 00:00:00+00,2022-10-26 02:10:08.700759+00,\N,9837
976,2022-08-01 00:00:00+00,2022-10-26 02:22:59.172481+00,\N,3162
977,2022-08-01 00:00:00+00,2022-10-26 02:25:33.358057+00,\N,3162
973,2022-08-01 00:00:00+00,2022-10-26 03:05:46.128211+00,\N,1396
