id,created,updated,five_why_response_id,flash_report_id,root_cause_detail_id,action_id,filename,extension,shared_learning_id,feedback_id
1,2022-08-03 03:18:19.92062+00,2022-08-03 03:31:17.232164+00,\N,\N,\N,\N,flash_report_011c1c42-6c5b-4f25-b3c1-c192abf33d51.jpeg,.jpeg,\N,
2,2022-08-03 03:31:17.235273+00,2022-08-03 03:54:46.785134+00,\N,\N,\N,\N,flash_report_e511ed30-3f86-40f6-bf02-136e776c36fb.jpeg,.jpeg,\N,
3,2022-08-03 03:54:46.787054+00,2022-08-03 03:55:43.833377+00,\N,\N,\N,\N,flash_report_76fcac8b-91a8-4efd-b418-3e2f1cc0b7ea.jpeg,.jpeg,\N,
4,2022-08-03 03:55:43.834013+00,2022-08-03 03:57:49.089327+00,\N,\N,\N,\N,flash_report_36106c68-b014-43ef-8376-30ff88c49fed.jpeg,.jpeg,\N,
5,2022-08-03 03:57:49.090212+00,2022-08-03 03:59:36.688875+00,\N,\N,\N,\N,flash_report_ec893756-8ad0-424c-80c2-8f992eb905fd.jpeg,.jpeg,\N,
6,2022-08-03 03:59:36.689545+00,2022-08-03 07:18:42.857226+00,\N,\N,\N,\N,flash_report_74da28e4-9595-46db-a98a-b1fcac62f437.jpeg,.jpeg,\N,
8,2022-08-03 07:43:32.019755+00,2022-08-03 07:52:06.495673+00,\N,\N,\N,\N,flash_report_8753a0e7-3a10-40bb-b39a-995d4786af16.jpeg,.jpeg,\N,
9,2022-08-03 07:52:06.499748+00,2022-08-03 07:52:29.19221+00,\N,\N,\N,\N,flash_report_8ddc9e37-4562-494a-ac7a-92920a7c0b28.jpeg,.jpeg,\N,
10,2022-08-03 07:52:29.19314+00,2022-08-03 07:53:05.719189+00,\N,\N,\N,\N,flash_report_5bb4e8da-24c8-4c28-921e-562b11554769.jpeg,.jpeg,\N,
12,2022-08-03 07:59:30.79679+00,2022-08-03 07:59:55.30901+00,\N,\N,\N,\N,flash_report_7da24e5f-fc96-45ee-8077-1e370e8dc09a.jpeg,.jpeg,\N,
13,2022-08-03 07:59:55.31023+00,2022-08-03 08:06:20.367583+00,\N,\N,\N,\N,flash_report_5f5711d5-334c-4da2-ac5e-41c0245b9ef6.jpeg,.jpeg,\N,
15,2022-08-03 08:07:52.656984+00,2022-08-03 08:08:40.91106+00,\N,\N,\N,\N,flash_report_139f73a5-83c0-46b7-844a-f977284218e4.jpeg,.jpeg,\N,
17,2022-08-04 03:31:22.911102+00,2022-08-04 03:39:20.22697+00,\N,\N,\N,\N,flash_report_15e6d49d-9af9-487e-b8d2-25de4e3bbb8a.jpeg,.jpeg,\N,
18,2022-08-04 03:39:20.229998+00,2022-08-05 01:43:43.241307+00,\N,\N,\N,\N,flash_report_3958e86e-c735-48e6-8493-7b77668e4570.jpeg,.jpeg,\N,
19,2022-08-05 01:43:43.248989+00,2022-08-05 01:47:40.637966+00,\N,\N,\N,\N,flash_report_8c7f5348-e358-4126-b4d6-f8c193c0b12b.jpeg,.jpeg,\N,
20,2022-08-05 01:47:40.638623+00,2022-08-05 01:47:40.638649+00,\N,5,\N,\N,flash_report_e161fd1c-bdc7-4fbd-b8a2-4d0d00e0fdc3.jpeg,.jpeg,\N,
21,2022-08-10 00:04:21.186734+00,2022-08-10 00:07:54.639595+00,\N,\N,\N,\N,flash_report_37ad11a3-e3b8-442c-af6a-df0df5b7b13e.jpeg,.jpeg,\N,
22,2022-08-10 00:07:54.642834+00,2022-08-10 00:07:54.642885+00,\N,6,\N,\N,flash_report_a7f91e48-6908-46c8-8e1d-0359bce9ad6c.jpeg,.jpeg,\N,
23,2022-08-10 00:17:41.997057+00,2022-08-10 00:17:41.997091+00,\N,\N,\N,\N,shared_learning_1f5310b8-d610-4d0f-af68-b9613e631383.jpeg,.jpeg,4,
24,2022-08-10 06:43:21.154624+00,2022-08-10 06:43:21.15466+00,\N,7,\N,\N,flash_report_535353ab-78f9-4b20-ab7d-b19420c6ff60.jpeg,.jpeg,\N,
25,2022-08-15 08:54:29.910056+00,2022-08-15 08:54:29.910092+00,\N,8,\N,\N,flash_report_10a2a6ac-8cad-4495-893e-76edaae52501.jpeg,.jpeg,\N,
26,2022-08-16 01:41:10.32434+00,2022-08-16 01:41:10.324388+00,\N,9,\N,\N,flash_report_d2cb816b-67eb-4e92-af1f-5aa372ac93f6.jpeg,.jpeg,\N,
27,2022-08-16 07:22:26.24394+00,2022-08-16 07:22:26.243971+00,\N,10,\N,\N,flash_report_a3320cc2-0aaf-4475-b840-87091d0eab36.jpeg,.jpeg,\N,
28,2022-08-18 08:11:24.513866+00,2022-08-18 08:11:24.513896+00,\N,11,\N,\N,flash_report_375ce551-a034-4254-bd4c-2fa43b093768.jpeg,.jpeg,\N,
29,2022-08-19 02:40:11.228567+00,2022-08-19 02:40:11.228599+00,\N,\N,\N,15543,action_a7255b90-3a03-46a4-a9a4-e95f2086cc0f.jpeg,.jpeg,\N,
30,2022-08-19 02:40:14.105965+00,2022-08-19 02:40:14.106003+00,\N,12,\N,\N,flash_report_b0b49c52-55de-47cc-a596-8130c1e5ee04.jpeg,.jpeg,\N,
31,2022-08-19 03:12:24.665584+00,2022-08-19 03:12:24.66562+00,\N,\N,\N,15544,action_c1b5d6f4-7df9-4f5b-b080-da169c35f42f.jpeg,.jpeg,\N,
32,2022-08-19 03:12:26.57928+00,2022-08-19 03:12:26.579313+00,\N,13,\N,\N,flash_report_00b43fd7-66c4-4074-99dd-a02ee1aa71f9.jpeg,.jpeg,\N,
33,2022-08-19 03:52:19.325352+00,2022-08-19 03:52:19.325382+00,\N,14,\N,\N,flash_report_7c7d247a-b441-4375-b133-3c3baa49a75f.jpeg,.jpeg,\N,
34,2022-08-19 04:33:49.648271+00,2022-08-19 04:33:49.6483+00,\N,15,\N,\N,flash_report_e73f59fb-4d7f-4b5e-990b-feba1a0329b8.jpeg,.jpeg,\N,
35,2022-08-19 06:08:31.525297+00,2022-08-19 06:08:31.525327+00,\N,16,\N,\N,flash_report_b426d1b1-1f8e-4b18-84fe-d0cf3527f4d6.jpeg,.jpeg,\N,
36,2022-08-19 06:48:20.560616+00,2022-08-19 06:48:20.560643+00,\N,17,\N,\N,flash_report_727cfe1e-9dd1-4fd5-b4a9-ab14a9ffe90c.jpeg,.jpeg,\N,
37,2022-08-19 07:32:23.426212+00,2022-08-19 07:32:23.426242+00,\N,18,\N,\N,flash_report_ead53b62-a86f-477b-a6c0-b179bb6f85b7.jpeg,.jpeg,\N,
38,2022-08-19 07:49:43.831638+00,2022-08-19 07:49:43.831672+00,\N,19,\N,\N,flash_report_d68141e0-6728-4bde-a21f-71042452ef04.jpeg,.jpeg,\N,
39,2022-08-20 02:44:54.806071+00,2022-08-20 02:44:54.806104+00,\N,\N,\N,15551,action_c55e66f4-cb16-4e5a-bf84-d7cd0d410317.jpeg,.jpeg,\N,
42,2022-08-22 00:51:53.077239+00,2022-08-22 00:51:53.077272+00,\N,21,\N,\N,flash_report_b6617de1-21fe-4c84-9e59-355fab992b91.jpeg,.jpeg,\N,
43,2022-08-22 02:21:23.309797+00,2022-08-22 02:21:23.309837+00,\N,22,\N,\N,flash_report_00306e6a-57b6-43cc-a93a-f7c112c69eab.jpeg,.jpeg,\N,
44,2022-08-22 03:20:26.520061+00,2022-08-22 03:20:26.520095+00,\N,23,\N,\N,flash_report_a460bc08-c8b0-4748-a0d9-246c0db30099.jpeg,.jpeg,\N,
45,2022-08-22 04:47:04.627104+00,2022-08-22 04:47:04.627136+00,\N,24,\N,\N,flash_report_4cd1d556-5b59-4b45-a7c8-57a772375b3e.jpeg,.jpeg,\N,
46,2022-08-22 05:51:03.299951+00,2022-08-22 05:51:03.300021+00,\N,\N,\N,\N,shared_learning_12ca149f-9427-4e77-837d-197b41a1b8bc.jpeg,.jpeg,13,
47,2022-08-22 06:28:24.317405+00,2022-08-22 06:28:24.317448+00,\N,25,\N,\N,flash_report_fafef1ca-20b2-48a2-ae39-618be5b2db1a.jpeg,.jpeg,\N,
49,2022-08-22 07:24:25.392595+00,2022-08-22 07:24:25.392625+00,\N,27,\N,\N,flash_report_ee83c37a-9280-43c9-abcf-ac7a29b28988.jpeg,.jpeg,\N,
50,2022-08-22 07:27:59.167547+00,2022-08-22 07:27:59.167582+00,\N,\N,\N,\N,shared_learning_4a2f1503-28d8-48cc-816c-f81f339021bc.jpeg,.jpeg,15,
51,2022-08-22 08:18:25.529617+00,2022-08-22 08:18:25.529645+00,\N,28,\N,\N,flash_report_b59bd51e-4a59-4766-a884-ff759258d93c.jpeg,.jpeg,\N,
52,2022-08-22 08:43:14.410213+00,2022-08-22 08:43:14.410251+00,\N,29,\N,\N,flash_report_009f0e6d-45bf-4c2e-8ac3-fc02a4732651.jpeg,.jpeg,\N,
53,2022-08-23 00:47:36.837987+00,2022-08-23 00:47:36.838024+00,\N,30,\N,\N,flash_report_fca8968d-c75b-4374-b2a0-df173af92345.jpeg,.jpeg,\N,
54,2022-08-23 01:10:40.007583+00,2022-08-23 01:10:40.007614+00,\N,31,\N,\N,flash_report_97c74c2a-4f60-4666-a812-b4617c361c7d.jpeg,.jpeg,\N,
55,2022-08-23 02:37:41.358979+00,2022-08-23 02:37:41.359014+00,\N,32,\N,\N,flash_report_70e8b16a-4dd1-4ea9-9e99-4474b6d0688d.jpeg,.jpeg,\N,
56,2022-08-24 01:10:30.071231+00,2022-08-24 01:10:30.071266+00,\N,33,\N,\N,flash_report_16f5f9d5-4835-493c-a84e-184e87875f76.jpeg,.jpeg,\N,
58,2022-08-24 05:54:59.334032+00,2022-08-24 05:54:59.334064+00,\N,35,\N,\N,flash_report_2827683f-6e20-4aa0-9199-1bce5d5bc5d8.jpeg,.jpeg,\N,
59,2022-08-25 02:56:52.998005+00,2022-08-25 02:56:52.998039+00,\N,36,\N,\N,flash_report_e600637b-726b-43b1-ad83-a3fff569968a.jpeg,.jpeg,\N,
60,2022-08-25 04:06:35.156623+00,2022-08-25 04:06:35.156661+00,\N,37,\N,\N,flash_report_6be42b5f-7d5f-4d6c-a6e6-1740970dd2f6.jpeg,.jpeg,\N,
61,2022-08-25 04:24:41.903604+00,2022-08-25 04:24:41.903639+00,\N,38,\N,\N,flash_report_348c4dd7-175d-4a71-801c-604d139523ff.jpeg,.jpeg,\N,
62,2022-08-25 07:43:14.189876+00,2022-08-26 00:07:32.316951+00,\N,\N,\N,\N,flash_report_19ea881d-7ff5-4f5c-8cda-e68a258526dc.jpeg,.jpeg,\N,
63,2022-08-26 00:07:32.320743+00,2022-08-26 00:07:32.320799+00,\N,39,\N,\N,flash_report_bf6902fa-ab91-43af-b5e8-d2ba09f5a052.jpeg,.jpeg,\N,
64,2022-08-26 01:11:19.353849+00,2022-08-26 01:11:53.18828+00,\N,\N,\N,\N,flash_report_b9a78c03-a327-4100-ac37-ae219e42bc1a.jpeg,.jpeg,\N,
65,2022-08-26 01:11:53.194798+00,2022-08-26 01:11:53.19484+00,\N,40,\N,\N,flash_report_69062e27-37dd-4d55-a8b4-4ba8bc97d5fe.jpeg,.jpeg,\N,
66,2022-08-26 01:52:15.79623+00,2022-08-26 01:52:15.796266+00,\N,41,\N,\N,flash_report_9bdbeb19-5397-40e2-8c4e-b508d634810f.jpeg,.jpeg,\N,
67,2022-08-26 07:39:00.63691+00,2022-08-26 07:39:00.636941+00,\N,42,\N,\N,flash_report_dc0b3ccb-e092-4127-82ed-1d1aad76d34e.jpeg,.jpeg,\N,
40,2022-08-20 02:45:02.591589+00,2022-10-26 08:43:41.846131+00,\N,\N,\N,\N,flash_report_b3c979b9-3a99-4fa3-8a96-c56ff7ad1b99.jpeg,.jpeg,\N,
41,2022-08-20 02:59:56.765396+00,2022-10-26 08:53:50.734297+00,\N,\N,\N,\N,shared_learning_95ef6c69-7344-401f-ab90-0ee73f909315.jpeg,.jpeg,\N,
68,2022-08-29 00:16:31.143175+00,2022-08-29 00:16:31.143245+00,29,\N,\N,\N,five_why_981d2dae-d9ac-4d10-872d-427b7cf032dd.jpeg,.jpeg,\N,
69,2022-08-29 00:16:31.143265+00,2022-08-29 00:16:31.143283+00,29,\N,\N,\N,five_why_5a523e47-01c8-48ff-bdfd-1c8b45884bd6.jpeg,.jpeg,\N,
