Site,Department,Object Type,Email
Christmas Creek,Process Plant,*,!CCFPEngineering@fmgl.com.au
Christmas Creek,Process Plant,*,!CCFPEngineeringandReliability@fmgl.com.au
Christmas Creek,Process Plant,*,!CCConMon@fmgl.com.au
Christmas Creek,Process Plant,*,!CCFPOperationsSupervisors@fmgl.com.au
Christmas Creek,Process Plant,*,ccfpmechmaintenancesupervisors@fmgl.com.au
Christmas Creek,Process Plant,*,CCFPElectricalSupervisors@fmgl.com.au
Christmas Creek,Process Plant,*,ccfppcsdl@fmgl.com.au
Christmas Creek,Process Plant,*,!CCFPSuperintendents@fmgl.com.au
Christmas Creek,Dewatering,*,!chichesterwatermanagementengineers@fmgl.com.au
Christmas Creek,Dewatering,*,!chichesterwatermanagementcontrolsystems@fmgl.com.au
Christmas Creek,Dewatering,*,chichesterwatermanagementleaders@fmgl.com.au
Christmas Creek,Dewatering,*,chichesterdewateringplanning@fmgl.com.au
Cloudbreak,Process Plant,*,!CBOPFEngineeringandReliability@fmgl.com.au
Cloudbreak,Process Plant,*,!OPFSupervisors@fmgl.com.au
Cloudbreak,Process Plant,*,OPFMets@fmgl.com.au
Cloudbreak,Process Plant,*,cbprocesscontrol@fmgl.com.au
Cloudbreak,Process Plant,*,CBOPFSLT@fmgl.com.au
Cloudbreak,Process Plant,*,chfpcontrolsupervisors@fmgl.com.au
Cloudbreak,Process Plant,*,clbopfplanningteam@fmgl.com.au
Cloudbreak,Process Plant,*,!CBSiteProjects@fmgl.com.au
Cloudbreak,Process Plant,*,!clbopfmodshutdownplanners@fmgl.com.au
Cloudbreak,Process Plant,*,!clbopfelectricalplanners@fmgl.com.au
Cloudbreak,Process Plant,*,CLBOPFShutdownPlanners@fmgl.com.au
Cloudbreak,Process Plant,*,clbopfscheduling@fmgl.com.au
Cloudbreak,Dewatering,*,!chichesterwatermanagementengineers@fmgl.com.au
Cloudbreak,Dewatering,*,!chichesterwatermanagementcontrolsystems@fmgl.com.au
Cloudbreak,Dewatering,*,chichesterwatermanagementleaders@fmgl.com.au
Cloudbreak,Dewatering,*,chichesterdewateringplanning@fmgl.com.au
Eliwana,Process Plant,*,!EliwanaOPFEngineering@fmgl.com.au
Eliwana,Process Plant,*,bscholtz@fmgl.com.au 
Eliwana,Process Plant,*,pvaldez@fmgl.com.au
Eliwana,Process Plant,*,steven.brits@fmgl.com.au
Eliwana,Process Plant,*,EliwanaOPFOPSSupervisors@fmgl.com.au
Eliwana,Process Plant,*,EliwanaOPFMechSupervisors@fmgl.com.au
Eliwana,Process Plant,*,EliwanaOPFElecSupervisors@fmgl.com.au
Eliwana,Process Plant,*,kcreedy@fmgl.com.au
Eliwana,Process Plant,*,EliwanaPCS@fmgl.com.au
Eliwana,Process Plant,*,EliwanaOPFSuperintendents@fmgl.com.au
Eliwana,Process Plant,*,!EliwanaOperationsManagers@fmgl.com.au
Eliwana,Process Plant,*,eliwanaioccontrolroomleadership@fmgl.com.au
Eliwana,Process Plant,*,EWOPFShuts&Planning@fmgl.com.au
Solomon,Process Plant,*,!SolEngineeringFiretail@fmgl.com.au
Solomon,Process Plant,*,!solopflubetechnicians@fmgl.com.au
Solomon,Process Plant,*,!sol_kv_superintendents@fmgl.com.au
Iron Bridge,Process Plant,*,!IBOPFEngineering@fmgl.com.au
Iron Bridge,Process Plant,*,!ibconditionmonitoring@fmgl.com.au
Iron Bridge,Process Plant,*,ibopfmechanicalmaintenanceleaders@fmgl.com.au
Iron Bridge,Process Plant,*,!IBOPFMaintenance@fmgl.com.au
Iron Bridge,Process Plant,*,IBManagementTeam@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,Port&RailEngineering@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,!portoperationsleaders@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,portmechsupvs@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,!Portelectricalsupervisors@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,portprocesscontrol@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,!PortSuperintendents@fmgl.com.au
Anderson Point,Port Inloading Facilities,*,!PortandRailManagers@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,Port&RailEngineering@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,!portoperationsleaders@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,portmechsupvs@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,!Portelectricalsupervisors@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,portprocesscontrol@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,!PortSuperintendents@fmgl.com.au
Anderson Point,Port Outloading Facilities,*,!PortandRailManagers@fmgl.com.au
*,Mobile Plant,*,HMEEngineering@fmgl.com.au
*,Mobile Plant,*,hmeconditionmonitoringanalysts@fmgl.com.au
*,Mobile Plant,*,sol.maintsuperintendents@fmgl.com.au
*,Mobile Plant,*,CCMMSuperintendents@fmgl.com.au
*,Mobile Plant,*,!CloudbreakWorkshopSuperintendants@fmgl.com.au
*,Mobile Plant,*,DiggerDrillReliability@fmgl.com.au
